"k","revert","playoff_revert","score"
5,0.1,0.1,119.83957066
5,0.1,0.2,119.623280584407
5,0.1,0.3,119.485832544326
5,0.1,0.4,119.4071704756
5,0.1,0.5,119.373681621455
5,0.1,0.6,119.37631509029
5,0.1,0.7,119.409250778592
5,0.1,0.8,119.468962265361
5,0.1,0.9,119.553555939389
5,0.2,0.1,119.723796493466
5,0.2,0.2,119.585105248644
5,0.2,0.3,119.497522044884
5,0.2,0.4,119.450394907402
5,0.2,0.5,119.436193030185
5,0.2,0.6,119.449709158075
5,0.2,0.7,119.487466484547
5,0.2,0.8,119.547278238306
5,0.2,0.9,119.627919951902
5,0.3,0.1,119.682003459075
5,0.3,0.2,119.593250409881
5,0.3,0.3,119.538768568379
5,0.3,0.4,119.512997739013
5,0.3,0.5,119.511838635896
5,0.3,0.6,119.532337559577
5,0.3,0.7,119.572438376802
5,0.3,0.8,119.630787574093
5,0.3,0.9,119.706580891743
5,0.4,0.1,119.693891296008
5,0.4,0.2,119.637053143938
5,0.4,0.3,119.604138986239
5,0.4,0.4,119.592300594795
5,0.4,0.5,119.599344468061
5,0.4,0.6,119.623618078257
5,0.4,0.7,119.663914660395
5,0.4,0.8,119.719393705045
5,0.4,0.9,119.789514678475
5,0.5,0.1,119.746233704868
5,0.5,0.2,119.709327782231
5,0.5,0.3,119.689847170458
5,0.5,0.4,119.686372066251
5,0.5,0.5,119.69775712555
5,0.5,0.6,119.723095723553
5,0.5,0.7,119.761687879673
5,0.5,0.8,119.813011652305
5,0.5,0.9,119.876697768871
5,0.6,0.1,119.830655463789
5,0.6,0.2,119.805388250452
5,0.6,0.3,119.793349875499
5,0.6,0.4,119.793872754447
5,0.6,0.5,119.80638995679
5,0.6,0.6,119.830426538214
5,0.6,0.7,119.865591064988
5,0.6,0.8,119.911567442605
5,0.6,0.9,119.968107125497
5,0.7,0.1,119.942126068841
5,0.7,0.2,119.922355955099
5,0.7,0.3,119.913046988122
5,0.7,0.4,119.913934738729
5,0.7,0.5,119.924779195411
5,0.7,0.6,119.945363794898
5,0.7,0.7,119.975494300593
5,0.7,0.8,120.014997562628
5,0.7,0.9,120.063720185674
5,0.8,0.1,120.07793812622
5,0.8,0.2,120.058668380395
5,0.8,0.3,120.04805855723
5,0.8,0.4,120.046067680063
5,0.8,0.5,120.05264821557
5,0.8,0.6,120.067746245307
5,0.8,0.7,120.091301671366
5,0.8,0.8,120.123248448143
5,0.8,0.9,120.163514830777
5,0.9,0.1,120.237013641485
5,0.9,0.2,120.213729900959
5,0.9,0.3,120.198059016185
5,0.9,0.4,120.190085822369
5,0.9,0.5,120.1898784975
5,0.9,0.6,120.197488150717
5,0.9,0.7,120.212948552337
5,0.9,0.8,120.236276005384
5,0.9,0.9,120.267469355829
