"y","w","t","pts"
2010,1,1,86.5
2010,1,2,55
2010,1,3,99.5
2010,1,4,102.5
2010,1,5,87.5
2010,1,6,132.5
2010,1,7,90.5
2010,1,8,120
2010,2,1,88.5
2010,2,2,109
2010,2,3,61.5
2010,2,4,64.5
2010,2,5,87
2010,2,6,133.5
2010,2,7,131
2010,2,8,98.5
2010,3,1,117.5
2010,3,2,83.5
2010,3,3,121.5
2010,3,4,129.5
2010,3,5,101.5
2010,3,6,121
2010,3,7,62.5
2010,3,8,93.5
2010,4,1,90
2010,4,2,95
2010,4,3,95
2010,4,4,67
2010,4,5,118.5
2010,4,6,49
2010,4,7,114.5
2010,4,8,95.5
2010,5,1,106.5
2010,5,2,76
2010,5,3,104.5
2010,5,4,102.5
2010,5,5,67.5
2010,5,6,80.5
2010,5,7,57.5
2010,5,8,120
2010,6,1,75
2010,6,2,75.5
2010,6,3,114.5
2010,6,4,110.5
2010,6,5,73.5
2010,6,6,89.5
2010,6,7,104
2010,6,8,102
2010,7,1,81.5
2010,7,2,101
2010,7,3,122.5
2010,7,4,78.5
2010,7,5,91.5
2010,7,6,102
2010,7,7,88.5
2010,7,8,70.5
2010,8,1,103
2010,8,2,107
2010,8,3,75
2010,8,4,67.5
2010,8,5,63.5
2010,8,6,80.5
2010,8,7,121
2010,8,8,96
2010,9,1,93
2010,9,2,101
2010,9,3,117.5
2010,9,4,80
2010,9,5,39
2010,9,6,109.5
2010,9,7,131
2010,9,8,72
2010,10,1,132
2010,10,2,97.5
2010,10,3,143
2010,10,4,122.5
2010,10,5,33
2010,10,6,93.5
2010,10,7,144
2010,10,8,60
2010,11,1,130
2010,11,2,109.5
2010,11,3,138.5
2010,11,4,82.5
2010,11,5,97
2010,11,6,81
2010,11,7,157
2010,11,8,127.5
2010,12,1,95.5
2010,12,2,76
2010,12,3,127.5
2010,12,4,82.5
2010,12,5,81.5
2010,12,6,69
2010,12,7,156.5
2010,12,8,84
2010,13,1,75.5
2010,13,2,102
2010,13,3,112
2010,13,4,67.5
2010,13,5,107
2010,13,6,108
2010,13,7,132.5
2010,13,8,75
2011,1,1,53.5
2011,1,2,131
2011,1,3,115
2011,1,4,119.5
2011,1,5,65.5
2011,1,6,85
2011,1,7,132
2011,1,8,147
2011,2,1,125.5
2011,2,2,96.5
2011,2,3,111
2011,2,4,135
2011,2,5,143
2011,2,6,122
2011,2,7,110
2011,2,8,153.5
2011,3,1,97.5
2011,3,2,83.5
2011,3,3,86
2011,3,4,116
2011,3,5,93.5
2011,3,6,66.5
2011,3,7,114.5
2011,3,8,99
2011,4,1,133
2011,4,2,83
2011,4,3,158
2011,4,4,146
2011,4,5,73.5
2011,4,6,83.5
2011,4,7,105.5
2011,4,8,136
2011,5,1,103.5
2011,5,2,103
2011,5,3,120
2011,5,4,137.5
